pkt_id,ue_id,arrival_t_s,first_tx_t_s,acked_t_s,delay_s,retx,pkt_size_bits
0,0,0.0,0.0,0.0,0.0,0,12000
1,2,0.0,0.001,0.001,0.001,0,12000
2,2,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0,12000
3,2,0.011,0.011,0.011,0.0,0,12000
4,0,0.019,0.019,0.019,0.0,0,12000
6,1,0.027,0.027,0.027,0.0,0,12000
5,0,0.027,0.028,0.028,0.0010000000000000009,0,12000
7,1,0.031,0.031,0.031,0.0,0,12000
8,1,0.034,0.034,0.034,0.0,0,12000
9,1,0.043000000000000003,0.043000000000000003,0.043000000000000003,0.0,0,12000
10,3,0.064,0.064,0.064,0.0,0,12000
11,2,0.07,0.07,0.07,0.0,0,12000
12,3,0.07100000000000001,0.07100000000000001,0.07100000000000001,0.0,0,12000
13,3,0.075,0.075,0.075,0.0,0,12000
14,0,0.082,0.082,0.082,0.0,0,12000
15,2,0.082,0.083,0.083,0.0010000000000000009,0,12000
16,1,0.089,0.089,0.089,0.0,0,12000
17,3,0.093,0.093,0.093,0.0,0,12000
18,3,0.107,0.107,0.107,0.0,0,12000
19,1,0.11800000000000001,0.11800000000000001,0.11800000000000001,0.0,0,12000
20,0,0.125,0.126,0.126,0.0010000000000000009,1,12000
22,2,0.131,0.131,0.131,0.0,0,12000
21,1,0.13,0.133,0.133,0.0030000000000000027,2,12000
24,2,0.145,0.145,0.145,0.0,0,12000
25,0,0.155,0.155,0.155,0.0,0,12000
23,1,0.132,0.133,0.156,0.023999999999999994,0,12000
27,0,0.167,0.167,0.167,0.0,0,12000
28,0,0.177,0.177,0.177,0.0,0,12000
29,3,0.18,0.18,0.18,0.0,0,12000
30,3,0.181,0.181,0.181,0.0,0,12000
26,1,0.156,0.192,0.192,0.036000000000000004,0,12000
32,2,0.193,0.193,0.193,0.0,0,12000
33,2,0.198,0.198,0.198,0.0,0,12000
34,3,0.203,0.203,0.203,0.0,0,12000
35,0,0.20700000000000002,0.20700000000000002,0.20700000000000002,0.0,0,12000
31,1,0.192,0.211,0.211,0.01899999999999999,0,12000
36,1,0.211,0.212,0.212,0.0010000000000000009,0,12000
38,2,0.215,0.215,0.215,0.0,0,12000
39,3,0.218,0.218,0.218,0.0,0,12000
40,2,0.223,0.223,0.223,0.0,0,12000
37,1,0.212,0.224,0.224,0.01200000000000001,0,12000
43,2,0.233,0.233,0.233,0.0,0,12000
42,0,0.233,0.234,0.234,0.0010000000000000009,0,12000
44,3,0.23800000000000002,0.23800000000000002,0.23800000000000002,0.0,0,12000
41,1,0.224,0.243,0.243,0.01899999999999999,0,12000
46,3,0.246,0.246,0.246,0.0,0,12000
45,1,0.243,0.251,0.251,0.008000000000000007,0,12000
48,2,0.259,0.259,0.259,0.0,0,12000
47,1,0.251,0.261,0.261,0.010000000000000009,0,12000
50,2,0.263,0.263,0.263,0.0,0,12000
51,0,0.267,0.267,0.267,0.0,0,12000
52,2,0.271,0.271,0.271,0.0,0,12000
49,1,0.261,0.272,0.272,0.01100000000000001,0,12000
54,0,0.274,0.274,0.274,0.0,0,12000
55,3,0.28300000000000003,0.28300000000000003,0.28300000000000003,0.0,0,12000
56,0,0.28500000000000003,0.28500000000000003,0.28500000000000003,0.0,0,12000
57,0,0.29,0.29,0.29,0.0,0,12000
53,1,0.272,0.291,0.291,0.01899999999999996,0,12000
59,2,0.306,0.306,0.306,0.0,0,12000
61,2,0.309,0.309,0.309,0.0,0,12000
60,0,0.309,0.31,0.31,0.0010000000000000009,0,12000
62,2,0.32,0.32,0.32,0.0,0,12000
58,1,0.29,0.324,0.324,0.03400000000000003,0,12000
64,0,0.325,0.325,0.325,0.0,0,12000
63,1,0.324,0.327,0.327,0.0030000000000000027,0,12000
66,3,0.331,0.331,0.331,0.0,0,12000
65,1,0.327,0.333,0.333,0.006000000000000005,0,12000
68,0,0.338,0.338,0.338,0.0,0,12000
69,3,0.341,0.341,0.341,0.0,0,12000
70,0,0.34400000000000003,0.34400000000000003,0.34400000000000003,0.0,0,12000
67,1,0.333,0.354,0.354,0.020999999999999963,0,12000
72,2,0.354,0.355,0.355,0.0010000000000000009,0,12000
73,3,0.375,0.375,0.375,0.0,0,12000
