slot,t_s,ue_id,ue_x_m,ue_y_m,ue_z_m,sinr_db,spectral_eff_bphz,alloc_ru,arrival_bits,tx_bits,ack_bits,queue_bits,bler,success
0,0.0,0,2.0021216045321757,4.766501481540594,1.2,5.0,0.8,100,12000,12000,12000,0,0.04742587317756678,True
0,0.0,1,4.410577108776735,-3.297956868888696,1.2,5.0,0.8,0,0,0,0,0,,
0,0.0,2,-3.197829702245085,4.482531497366908,1.2,5.0,0.8,0,12000,0,0,12000,,
0,0.0,3,-7.915746030432889,3.8548480152973443,1.2,5.0,0.8,0,0,0,0,0,,
1,0.001,0,2.00271574338968,4.766437351446282,1.2,5.0,0.8,0,0,0,0,0,,
1,0.001,1,4.410183173630374,-3.2984000176644948,1.2,5.0,0.8,0,0,0,0,0,,
1,0.001,2,-3.1983199630697765,4.482421649978674,1.2,5.0,0.8,100,0,12000,12000,0,0.04742587317756678,True
1,0.001,3,-7.915736933914973,3.8549550100014933,1.2,5.0,0.8,0,0,0,0,0,,
2,0.002,0,2.003309882247184,4.766373221351969,1.2,5.0,0.8,0,0,0,0,0,,
2,0.002,1,4.409789238484013,-3.2988431664402933,1.2,5.0,0.8,0,0,0,0,0,,
2,0.002,2,-3.1988102238944682,4.48231180259044,1.2,5.0,0.8,0,0,0,0,0,,
2,0.002,3,-7.915727837397057,3.8550620047056423,1.2,5.0,0.8,0,0,0,0,0,,
3,0.003,0,2.003904021104688,4.766309091257657,1.2,5.0,0.8,0,0,0,0,0,,
3,0.003,1,4.409395303337652,-3.299286315216092,1.2,5.0,0.8,0,0,0,0,0,,
3,0.003,2,-3.19930048471916,4.482201955202205,1.2,5.0,0.8,0,0,0,0,0,,
3,0.003,3,-7.915718740879141,3.8551689994097913,1.2,5.0,0.8,0,0,0,0,0,,
4,0.004,0,2.0044981599621923,4.766244961163345,1.2,5.0,0.8,0,0,0,0,0,,
4,0.004,1,4.409001368191291,-3.2997294639918904,1.2,5.0,0.8,0,0,0,0,0,,
4,0.004,2,-3.1997907455438517,4.482092107813971,1.2,5.0,0.8,0,0,0,0,0,,
4,0.004,3,-7.915709644361225,3.8552759941139403,1.2,5.0,0.8,0,0,0,0,0,,
5,0.005,0,2.0050922988196964,4.766180831069033,1.2,5.0,0.8,0,0,0,0,0,,
5,0.005,1,4.40860743304493,-3.300172612767689,1.2,5.0,0.8,0,0,0,0,0,,
5,0.005,2,-3.2002810063685434,4.481982260425736,1.2,5.0,0.8,0,0,0,0,0,,
5,0.005,3,-7.91570054784331,3.8553829888180893,1.2,5.0,0.8,0,0,0,0,0,,
6,0.006,0,2.0056864376772006,4.76611670097472,1.2,5.0,0.8,0,0,0,0,0,,
6,0.006,1,4.4082134978985685,-3.3006157615434875,1.2,5.0,0.8,0,0,0,0,0,,
6,0.006,2,-3.200771267193235,4.481872413037502,1.2,5.0,0.8,0,0,0,0,0,,
6,0.006,3,-7.915691451325394,3.8554899835222383,1.2,5.0,0.8,0,0,0,0,0,,
7,0.007,0,2.0062805765347047,4.766052570880408,1.2,5.0,0.8,0,0,0,0,0,,
7,0.007,1,4.407819562752207,-3.301058910319286,1.2,5.0,0.8,0,0,0,0,0,,
7,0.007,2,-3.201261528017927,4.481762565649268,1.2,5.0,0.8,0,0,0,0,0,,
7,0.007,3,-7.915682354807478,3.8555969782263873,1.2,5.0,0.8,0,0,0,0,0,,
8,0.008,0,2.006874715392209,4.765988440786096,1.2,5.0,0.8,0,0,0,0,0,,
8,0.008,1,4.407425627605846,-3.3015020590950845,1.2,5.0,0.8,0,0,0,0,0,,
8,0.008,2,-3.2017517888426186,4.481652718261033,1.2,5.0,0.8,0,0,0,0,0,,
8,0.008,3,-7.915673258289562,3.8557039729305362,1.2,5.0,0.8,0,0,0,0,0,,
9,0.009000000000000001,0,2.007468854249713,4.7659243106917835,1.2,5.0,0.8,0,0,0,0,0,,
9,0.009000000000000001,1,4.407031692459485,-3.301945207870883,1.2,5.0,0.8,0,0,0,0,0,,
9,0.009000000000000001,2,-3.2022420496673103,4.481542870872799,1.2,5.0,0.8,100,12000,12000,12000,0,0.04742587317756678,True
9,0.009000000000000001,3,-7.915664161771646,3.8558109676346852,1.2,5.0,0.8,0,0,0,0,0,,
10,0.01,0,2.008062993107217,4.765860180597471,1.2,5.0,0.8,0,0,0,0,0,,
10,0.01,1,4.406637757313124,-3.3023883566466816,1.2,5.0,0.8,0,0,0,0,0,,
10,0.01,2,-3.202732310492002,4.4814330234845645,1.2,5.0,0.8,0,0,0,0,0,,
10,0.01,3,-7.9156550652537305,3.855917962338834,1.2,5.0,0.8,0,0,0,0,0,,
11,0.011,0,2.0086571319647213,4.765796050503159,1.2,5.0,0.8,0,0,0,0,0,,
11,0.011,1,4.406243822166763,-3.30283150542248,1.2,5.0,0.8,0,0,0,0,0,,
11,0.011,2,-3.2032225713166937,4.48132317609633,1.2,5.0,0.8,100,12000,12000,12000,0,0.04742587317756678,True
11,0.011,3,-7.915645968735815,3.856024957042983,1.2,5.0,0.8,0,0,0,0,0,,
12,0.012,0,2.0092512708222254,4.765731920408847,1.2,5.0,0.8,0,0,0,0,0,,
12,0.012,1,4.405849887020402,-3.3032746541982787,1.2,5.0,0.8,0,0,0,0,0,,
12,0.012,2,-3.2037128321413855,4.481213328708096,1.2,5.0,0.8,0,0,0,0,0,,
12,0.012,3,-7.915636872217899,3.856131951747132,1.2,5.0,0.8,0,0,0,0,0,,
13,0.013000000000000001,0,2.0098454096797296,4.765667790314534,1.2,5.0,0.8,0,0,0,0,0,,
13,0.013000000000000001,1,4.405455951874041,-3.3037178029740772,1.2,5.0,0.8,0,0,0,0,0,,
13,0.013000000000000001,2,-3.204203092966077,4.481103481319861,1.2,5.0,0.8,0,0,0,0,0,,
13,0.013000000000000001,3,-7.915627775699983,3.856238946451281,1.2,5.0,0.8,0,0,0,0,0,,
14,0.014,0,2.0104395485372337,4.765603660220222,1.2,5.0,0.8,0,0,0,0,0,,
14,0.014,1,4.40506201672768,-3.304160951749876,1.2,5.0,0.8,0,0,0,0,0,,
14,0.014,2,-3.204693353790769,4.480993633931627,1.2,5.0,0.8,0,0,0,0,0,,
14,0.014,3,-7.915618679182067,3.85634594115543,1.2,5.0,0.8,0,0,0,0,0,,
15,0.015,0,2.011033687394738,4.76553953012591,1.2,5.0,0.8,0,0,0,0,0,,
15,0.015,1,4.404668081581319,-3.3046041005256743,1.2,5.0,0.8,0,0,0,0,0,,
15,0.015,2,-3.2051836146154606,4.480883786543393,1.2,5.0,0.8,0,0,0,0,0,,
15,0.015,3,-7.9156095826641515,3.856452935859579,1.2,5.0,0.8,0,0,0,0,0,,
16,0.016,0,2.011627826252242,4.7654754000315975,1.2,5.0,0.8,0,0,0,0,0,,
16,0.016,1,4.4042741464349575,-3.305047249301473,1.2,5.0,0.8,0,0,0,0,0,,
16,0.016,2,-3.2056738754401524,4.480773939155158,1.2,5.0,0.8,0,0,0,0,0,,
16,0.016,3,-7.915600486146236,3.856559930563728,1.2,5.0,0.8,0,0,0,0,0,,
17,0.017,0,2.012221965109746,4.765411269937285,1.2,5.0,0.8,0,0,0,0,0,,
17,0.017,1,4.403880211288596,-3.3054903980772714,1.2,5.0,0.8,0,0,0,0,0,,
17,0.017,2,-3.206164136264844,4.480664091766924,1.2,5.0,0.8,0,0,0,0,0,,
17,0.017,3,-7.91559138962832,3.856666925267877,1.2,5.0,0.8,0,0,0,0,0,,
18,0.018000000000000002,0,2.0128161039672503,4.765347139842973,1.2,5.0,0.8,0,0,0,0,0,,
